"filename","title","description","feature","topic","role","level"
"./metadata.md","","this is the metadata required for AEMaaCS documentation pages","","","",""
"./help/release-notes/TOC.md","","","","","",""
"./help/release-notes/home.md","Release Notes for Adobe Experience Manager (AEM) as a Cloud Service.","Release Notes for Adobe Experience Manager (AEM) as a Cloud Service. ","","","",""
"./help/release-notes/release-notes-cloud/release-notes-current.md","Current Release Notes for [!DNL Adobe Experience Manager] as a Cloud Service.","Current Release Notes for [!DNL Adobe Experience Manager] as a Cloud Service.","","","",""
"./help/release-notes/release-notes-cloud/2021/release-notes-2021-1-0.md","Release Notes for 2021.1.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.","[!DNL Adobe Experience Manager] as a Cloud Service Release Notes for 2021.1.0.","","","",""
"./help/release-notes/release-notes-cloud/2020/release-notes-2020-12-0.md","Current Release Notes for [!DNL Adobe Experience Manager] as a Cloud Service.","Current Release Notes for [!DNL Adobe Experience Manager] as a Cloud Service.","","","",""
"./help/release-notes/release-notes-cloud/2020/release-notes-2020-11-0.md","Release Notes for 2020.11.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.","[!DNL Adobe Experience Manager] as a Cloud Service Release Notes for 2020.11.0.","","","",""
"./help/release-notes/release-notes-cloud/2020/release-notes-2020-10-0.md","Release Notes for 2020.10.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.","[!DNL Adobe Experience Manager] as a Cloud Service Release Notes for 2020.10.0.","","","",""
"./help/release-notes/release-notes-cloud/2020/release-notes-2020-9-0.md","Release Notes for 2020.9.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.","[!DNL Adobe Experience Manager] as a Cloud Service Release Notes for 2020.9.0.","","","",""
"./help/release-notes/release-notes-cloud/2020/release-notes-2020-8-0.md","Release Notes for 2020.8.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.","[!DNL Adobe Experience Manager] as a Cloud Service Release Notes for 2020.8.0.","","","",""
"./help/release-notes/release-notes-cloud/2020/release-notes-2020-7-0.md","Release Notes for 2020.7.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.","[!DNL Adobe Experience Manager] as a Cloud Service Release Notes for 2020.7.0.","","","",""
"./help/release-notes/release-notes-cloud/2020/release-notes-2020-6-0.md","Adobe Experience Manager as a Cloud Service Release Notes for 2020.6.0","Experience Manager Release Notes for 2020.6.0","","","",""
"./help/release-notes/release-notes-cloud/2020/release-notes-2020-5-0.md","Adobe Experience Manager as a Cloud Service Release Notes for 2020.5.0","Experience Manager Release Notes for 2020.5.0","","","",""
"./help/release-notes/release-notes-cloud/2020/release-notes-2020-4-0.md","Adobe Experience Manager as a Cloud Service Release Notes for 2020.4.0","Experience Manager Release Notes for 2020.4.0","","","",""
"./help/release-notes/release-notes-cloud/2020/release-notes-2020-3-0.md","Release Notes for Release 2020.3.0","Release Notes for Release 2020.3.0","","","",""
"./help/release-notes/release-notes-cloud/2020/release-notes-2020-2-0.md","Release Notes for Release 2020.2.0","Release Notes for Release 2020.2.0","","","",""
"help/release-notes/what-is-new.md","What is new?","What is new in Adobe Experience Manager (AEM) as a Cloud Service. ","","","",""
"help/release-notes/aem-cloud-changes.md","Notable Changes to Adobe Experience Manager (AEM) as a Cloud Service","Notable Changes to Adobe Experience Manager (AEM) as a Cloud Service","","","",""
"help/release-notes/known-issues.md","Known Issues","Release notes specific to the Known Issues with Adobe Experience Manager as a Cloud Service","","","",""
"help/release-notes/deprecated-removed-features.md","Deprecated and removed features","Release notes specific to deprecated and removed features in Adobe Experience Manager as a Cloud Service.","","","",""
