"filename","title","description","feature","topic","role","level"
"./metadata.md","","this is the metadata required for AEMaaCS documentation pages","","","",""
"./help/sites-cloud/TOC.md","","","Authoring","","Business Practitioner",""
"./help/sites-cloud/home.md","Adobe Experience Manager as a Cloud Service Sites","Adobe Experience Manager as a Cloud Service Sites self-help resources and documentation links","","","",""
"help/sites-cloud/sites-cloud-changes.md","Notable Changes to AEM Sites in AEM Cloud Service","Notable Changes to AEM Sites in AEM Cloud Service ","","","",""
"help/sites-cloud/authoring/getting-started/quick-start.md","Quick Start Guide to Authoring Pages","A quick, high-level guide to get you started authoring page content","","","",""
"help/sites-cloud/authoring/getting-started/concepts.md","Authoring Concepts","Concepts of authoring in AEM","","","",""
"help/sites-cloud/authoring/getting-started/basic-handling.md","Basic Handling","Get comfortable with navigating AEM and its basic usage","","","",""
"help/sites-cloud/authoring/getting-started/search.md","Search","Find your content faster with comprehensive search","","","",""
"help/sites-cloud/authoring/getting-started/account-environment.md","Configuring Your Account Environment","AEM provides you with the capability to configure your account and certain aspects of the author environment","","","",""
"help/sites-cloud/authoring/getting-started/inbox.md","Your Inbox","Managing your tasks with the inbox","","","",""
"help/sites-cloud/authoring/getting-started/keyboard-shortcuts.md","Keyboard Shortcuts for Consoles","Save time when authoring by using these keyboard shortcuts","","","",""
"help/sites-cloud/authoring/fundamentals/environment-tools.md","Authoring Environment and Tools","The authoring environment of AEM provides various mechanisms for organizing and editing your content","","","",""
"help/sites-cloud/authoring/fundamentals/annotations.md","Adding Page Annotations","Many components directly related to content allow you to add an annotation","","","",""
"help/sites-cloud/authoring/fundamentals/organizing-pages.md","Creating and Organizing Pages","How to create and organize pages with AEM","","","",""
"help/sites-cloud/authoring/fundamentals/editing-content.md","Editing Page Content","Once your page is created you can edit the content to make the updates you require","","","",""
"help/sites-cloud/authoring/fundamentals/rich-text-editor.md","Use the Rich Text Editor in [!DNL Adobe Experience Manager] to author content.","Use the [!DNL Experience Manager] Rich Text Editor to author content.","","","",""
"help/sites-cloud/authoring/fundamentals/page-properties.md","Editing Page Properties","Define the required properties for a page","","","",""
"help/sites-cloud/authoring/fundamentals/publishing-pages.md","Publishing Pages","How to publish and unpublish pages using AEM","","","",""
"help/sites-cloud/authoring/fundamentals/content-fragments.md","Content Fragments","Adobe Experience Manager as a Cloud Service Content Fragments allow you to design, create, curate, and use page-independent content","","","",""
"help/sites-cloud/authoring/fundamentals/experience-fragments.md","Experience Fragments","Use Adobe Experience Manager as a Cloud Service Experience Fragments to make your experiences reusable and flexible.","","","",""
"help/sites-cloud/authoring/fundamentals/csv-export.md","Export to CSV","Export information about your pages to a CSV file on your local system","","","",""
"help/sites-cloud/authoring/fundamentals/components.md","Components","Components are the fundamental authoring building block of content pages in AEM","","","",""
"help/sites-cloud/authoring/fundamentals/mobile.md","Authoring a Page for Mobile Devices","When authoring for mobile, you can switch between several emulators to see what the end-user sees","","","",""
"help/sites-cloud/authoring/fundamentals/accessible-content.md","Creating Accessible Content for Adobe Experience Manager as a Cloud Service (WCAG 2.1 Conformance)","Use AEM as a Cloud Service to help make web content accessible to, and usable by, persons with disabilities","","","",""
"help/sites-cloud/authoring/fundamentals/troubleshooting.md","Troubleshooting AEM when Authoring","Some issues that you might encounter when using AEM","","","",""
"help/sites-cloud/authoring/fundamentals/keyboard-shortcuts.md","Keyboard Shortcuts for Page Editing","Various keyboard shortcuts are available throughout AEM, including some for page editing","","","",""
"help/sites-cloud/authoring/features/templates.md","Creating Page Templates","The template defines the structure of the resultant page and with the template editor, creating and maintaining templates is no longer a developer-only task","","","",""
"help/sites-cloud/authoring/features/style-system.md","Style System","The Style System allows a template author to define style classes in the content policy of a component so that a content author is able to select them when editing the component on a page. These styles can be alternative visual variations of a component, making it more flexible.","","","",""
"help/sites-cloud/authoring/features/page-versions.md","Working with Page Versions","Create, compare, and restore versions of a page","","","",""
"help/sites-cloud/authoring/features/page-diff.md","Page Diff","The page diff feature allows for the convenient side-by-side comparison of two pages with their differences highlighted.","","","",""
"help/sites-cloud/authoring/features/components-console.md","Components Console","The Components Console allows you to browse through all components defined for your instance","","","",""
"help/sites-cloud/authoring/features/responsive-layout.md","Responsive Layout","AEM allows you to realize a responsive layout for your pages","","","",""
"help/sites-cloud/authoring/features/tags.md","Using Tags","Tags are a quick and easy method of classifying content within a website","","","",""
"help/sites-cloud/authoring/features/enable-pwa.md","Enabling Progressive Web App Features","AEM Sites allows the content author to enable progressive web app capabilities to any site through simple configuration instead of coding.","","","",""
"help/sites-cloud/authoring/projects/overview.md","Projects","Projects let you group resources into one entity whose common, shared environment makes it easy to manage your projects","","","",""
"help/sites-cloud/authoring/projects/managing.md","Managing Projects","Projects lets you organize your project by grouping resources into one entity which can be accessed and managed in the Projects console","","","",""
"help/sites-cloud/authoring/projects/tasks.md","Working with Tasks","Tasks represent items of work to be done on content and are used in projects to determine the level of completeness of current tasks","","","",""
"help/sites-cloud/authoring/projects/workflows.md","Working with Project Workflows","A variety of project workflows are available out of the box.","","","",""
"help/sites-cloud/authoring/launches/overview.md","Launches","Launches enable you to efficiently develop content for a future release. They allow you to make changes ready for future publication, while maintaining your current pages","","","",""
"help/sites-cloud/authoring/launches/creating.md","Creating Launches","You can create a launch to enable the updating of a new version of existing web pages for future activation.","","","",""
"help/sites-cloud/authoring/launches/managing-pages.md","Managing Pages in your Launch","You can create new pages within your Launch. You can also delete unwanted pages. ","","","",""
"help/sites-cloud/authoring/launches/editing.md","Editing Launches","After creating a launch for your page (or set of pages) you can edit the content in the launch copy of the page(s). ","","","",""
"help/sites-cloud/authoring/launches/preview.md","Preview the Future using your Launch","With Timewarp you can view your content based on your launches.","","","",""
"help/sites-cloud/authoring/launches/promoting.md","Promoting Launches","You need to promote launch pages to move the content back into the source (production) before publishing. ","","","",""
